Kanji,Kana,English,In Both,In Tanos,In Current,Category
"休む","やすむ","to rest",YES,YES,YES,BOTH
"八つ","やっつ","eight",YES,YES,YES,BOTH
"山","やま","mountain",YES,YES,YES,BOTH
"夕方","ゆうがた","evening",YES,YES,YES,BOTH
"夕飯","ゆうはん","dinner",YES,YES,YES,BOTH
"郵便局","ゆうびんきょく","post office",YES,YES,YES,BOTH
"昨夜","ゆうべ","last night",YES,YES,YES,BOTH
"有名","ゆうめい","famous",YES,YES,YES,BOTH
"雪","ゆき","snow",YES,YES,YES,BOTH
"","ゆっくりと","slowly",YES,YES,YES,BOTH
"八日","ようか","eight days, eighth day of the month",YES,YES,YES,BOTH
"洋服","ようふく","western-style clothes",YES,YES,YES,BOTH
"横","よこ","beside,side,width",YES,YES,YES,BOTH
"四日","よっか","four days, fouth day of the month",YES,YES,YES,BOTH
"四つ","よっつ","four",YES,YES,YES,BOTH
"呼ぶ","よぶ","to call out,to invite",YES,YES,YES,BOTH
"読む","よむ","to read",YES,YES,YES,BOTH
"夜","よる","evening,night",YES,YES,YES,BOTH
"弱い","よわい","weak",YES,YES,YES,BOTH
"来月","らいげつ","next month",YES,YES,YES,BOTH
"来週","らいしゅう","next week",YES,YES,YES,BOTH
"来年","らいねん","next year",YES,YES,YES,BOTH
"","りっぱ","splendid",YES,YES,YES,BOTH
"留学生","りゅうがくせい","overseas student",YES,YES,YES,BOTH
"両親","りょうしん","both parents",YES,YES,YES,BOTH
"料理","りょうり","cuisine",YES,YES,YES,BOTH
"旅行","りょこう","travel",YES,YES,YES,BOTH
"零","れい","zero",YES,YES,YES,BOTH
"冷蔵庫","れいぞうこ","refrigerator",YES,YES,YES,BOTH
"練習","れんしゅうする","to practice",YES,YES,YES,BOTH
"廊下","ろうか","corridor",YES,YES,YES,BOTH
"六","ろく","six",YES,YES,YES,BOTH
"若い","わかい","young",YES,YES,YES,BOTH
"分かる","わかる","to be understood",YES,YES,YES,BOTH
"忘れる","わすれる","to forget",YES,YES,YES,BOTH
"私","わたくし","(humble) I,myself",YES,YES,YES,BOTH
"渡す","わたす","to hand over",YES,YES,YES,BOTH
"渡る","わたる","to go across",YES,YES,YES,BOTH
"悪い","わるい","bad",YES,YES,YES,BOTH
"","アパート","apartment",YES,YES,YES,BOTH
"","エレベーター","elevator",YES,YES,YES,BOTH
"","カップ","Cup",YES,YES,YES,BOTH
"","カメラ","camera",YES,YES,YES,BOTH
"","カレンダー","calendar",YES,YES,YES,BOTH
"","カレー","Curry",YES,YES,YES,BOTH
"","ギター","Guitar",YES,YES,YES,BOTH
"","クラス","Class",YES,YES,YES,BOTH
"","グラム","Gram",YES,YES,YES,BOTH
"","コーヒー","Coffee",YES,YES,YES,BOTH
"","シャツ","Shirt",YES,YES,YES,BOTH
"","シャワー","Shower",YES,YES,YES,BOTH
"","スカート","Skirt",YES,YES,YES,BOTH
"","ストーブ","Heater",YES,YES,YES,BOTH
"","スプーン","Spoon",YES,YES,YES,BOTH
"","スポーツ","Sport",YES,YES,YES,BOTH
"","スリッパ","Slippers",YES,YES,YES,BOTH
"","ズボン","Trousers",YES,YES,YES,BOTH
"","ゼロ","Zero",YES,YES,YES,BOTH
"","タクシー","taxi",YES,YES,YES,BOTH
"","テスト","test",YES,YES,YES,BOTH
"","テレビ","television",YES,YES,YES,BOTH
"","テーブル","table",YES,YES,YES,BOTH
"","テープ","tape",YES,YES,YES,BOTH
"","トイレ","toilet",YES,YES,YES,BOTH
"","ナイフ","knife",YES,YES,YES,BOTH
"","ニュース","news",YES,YES,YES,BOTH
"","ネクタイ","tie,necktie",YES,YES,YES,BOTH
"","ハンカチ","handkerchief",YES,YES,YES,BOTH
"","バス","bus",YES,YES,YES,BOTH
"","バター","butter",YES,YES,YES,BOTH
"","パン","bread",YES,YES,YES,BOTH
"","パーティー","party",YES,YES,YES,BOTH
"","フォーク","fork",YES,YES,YES,BOTH
"","ベッド","bed",YES,YES,YES,BOTH
"","ペット","pet",YES,YES,YES,BOTH
"","ペン","pen",YES,YES,YES,BOTH
"","ページ","page",YES,YES,YES,BOTH
"","ホテル","hotel",YES,YES,YES,BOTH
"","ボタン","button",YES,YES,YES,BOTH
"","ポケット","pocket",YES,YES,YES,BOTH
"","ポスト","post",YES,YES,YES,BOTH
"","マッチ","match",YES,YES,YES,BOTH
"","メートル","metre",YES,YES,YES,BOTH
"","ラジオ","radio",YES,YES,YES,BOTH
"","レコード","record",YES,YES,YES,BOTH
"","レストラン","restaurant",YES,YES,YES,BOTH
"","ラジカセ","/",NO,YES,NO,TANOS_ONLY
"","あさって","",NO,NO,YES,CURRENT_ONLY
"","あそこ","",NO,NO,YES,CURRENT_ONLY
"","あっち","",NO,NO,YES,CURRENT_ONLY
"","あびる","",NO,NO,YES,CURRENT_ONLY
"","あまり","",NO,NO,YES,CURRENT_ONLY
"","ある","",NO,NO,YES,CURRENT_ONLY
"","いい/よい","",NO,NO,YES,CURRENT_ONLY
"","いくつ","",NO,NO,YES,CURRENT_ONLY
"","いくら","",NO,NO,YES,CURRENT_ONLY
"","いちばん","",NO,NO,YES,CURRENT_ONLY
"","おばあさん","",NO,NO,YES,CURRENT_ONLY
"","おまわりさん","",NO,NO,YES,CURRENT_ONLY
"","かかる","",NO,NO,YES,CURRENT_ONLY
"","かける","",NO,NO,YES,CURRENT_ONLY
"","かばん","",NO,NO,YES,CURRENT_ONLY
"","きゅう/く","",NO,NO,YES,CURRENT_ONLY
"","きれい","",NO,NO,YES,CURRENT_ONLY
"","こちら","",NO,NO,YES,CURRENT_ONLY
"","こっち","",NO,NO,YES,CURRENT_ONLY
"","さす","",NO,NO,YES,CURRENT_ONLY
"","し/よん","",NO,NO,YES,CURRENT_ONLY
"","しち/なな","",NO,NO,YES,CURRENT_ONLY
"","しょうゆ","",NO,NO,YES,CURRENT_ONLY
"","じゃ/じゃあ","",NO,NO,YES,CURRENT_ONLY
"","じゅうとお","",NO,NO,YES,CURRENT_ONLY
"","する","",NO,NO,YES,CURRENT_ONLY
"","そうして/そして","",NO,NO,YES,CURRENT_ONLY
"","そこ","",NO,NO,YES,CURRENT_ONLY
"","そちら","",NO,NO,YES,CURRENT_ONLY
"","そっち","",NO,NO,YES,CURRENT_ONLY
"","そば","",NO,NO,YES,CURRENT_ONLY
"","それから","",NO,NO,YES,CURRENT_ONLY
"","それでは","",NO,NO,YES,CURRENT_ONLY
"","ちゃわん","",NO,NO,YES,CURRENT_ONLY
"","つける","",NO,NO,YES,CURRENT_ONLY
"","できる","",NO,NO,YES,CURRENT_ONLY
"","では","",NO,NO,YES,CURRENT_ONLY
"","どう","",NO,NO,YES,CURRENT_ONLY
"","どうして","",NO,NO,YES,CURRENT_ONLY
"","どちら","",NO,NO,YES,CURRENT_ONLY
"","どれ","",NO,NO,YES,CURRENT_ONLY
"","など","",NO,NO,YES,CURRENT_ONLY
"","なる","",NO,NO,YES,CURRENT_ONLY
"","なん/なに","",NO,NO,YES,CURRENT_ONLY
"","はく","",NO,NO,YES,CURRENT_ONLY
"","ほか","",NO,NO,YES,CURRENT_ONLY
"","まいげつ/まいつき","",NO,NO,YES,CURRENT_ONLY
"","まいねん/まいとし","",NO,NO,YES,CURRENT_ONLY
"","まっすぐ","",NO,NO,YES,CURRENT_ONLY
"","みる","",NO,NO,YES,CURRENT_ONLY
"","やる","",NO,NO,YES,CURRENT_ONLY
"","よく","",NO,NO,YES,CURRENT_ONLY
"","キロ/キロメートル","",NO,NO,YES,CURRENT_ONLY
"","コップ","",NO,NO,YES,CURRENT_ONLY
"","コート","",NO,NO,YES,CURRENT_ONLY
"","セーター","",NO,NO,YES,CURRENT_ONLY
"","テープレコーダー","",NO,NO,YES,CURRENT_ONLY
"","デパート","",NO,NO,YES,CURRENT_ONLY
"","ドア","",NO,NO,YES,CURRENT_ONLY
"","ノート","",NO,NO,YES,CURRENT_ONLY
"","フィルム","",NO,NO,YES,CURRENT_ONLY
"","プール","",NO,NO,YES,CURRENT_ONLY
"","ボールペン","",NO,NO,YES,CURRENT_ONLY
"","ラジカセ/ラジオカセット","",NO,NO,YES,CURRENT_ONLY
"","ワイシャツ","",NO,NO,YES,CURRENT_ONLY
"何","","",NO,NO,YES,CURRENT_ONLY
"居る","","",NO,NO,YES,CURRENT_ONLY
"差す","","",NO,NO,YES,CURRENT_ONLY
"弾く","","",NO,NO,YES,CURRENT_ONLY
"毎年","","",NO,NO,YES,CURRENT_ONLY
"毎月","","",NO,NO,YES,CURRENT_ONLY
"見る観る","","",NO,NO,YES,CURRENT_ONLY
