Word	Has_Kanji	In_Current_1147	In_Complete_1426	In_Tanos_658	Category
とうふ	No	NO	YES	NO	Complete
とお	No	NO	YES	NO	Complete
とおい	No	YES	YES	YES	Current+Complete+Tanos
とおか	No	YES	YES	YES	Current+Complete+Tanos
とおく	No	NO	YES	NO	Complete
ときどき	No	YES	YES	YES	Current+Complete+Tanos
とけい	No	YES	YES	YES	Current+Complete+Tanos
ところ	No	YES	YES	YES	Current+Complete+Tanos
とし	No	YES	YES	YES	Current+Complete+Tanos
としょかん	No	YES	YES	YES	Current+Complete+Tanos
とても	No	YES	YES	YES	Current+Complete+Tanos
となり	No	YES	YES	YES	Current+Complete+Tanos
とびます	No	NO	YES	NO	Complete
とぶ	No	YES	YES	YES	Current+Complete+Tanos
とまります	No	NO	YES	NO	Complete
とまる	No	YES	YES	YES	Current+Complete+Tanos
ともだち	No	YES	YES	YES	Current+Complete+Tanos
とり	No	YES	YES	YES	Current+Complete+Tanos
とりにく	No	YES	YES	YES	Current+Complete+Tanos
とります	No	NO	YES	NO	Complete
とり肉	Yes	YES	YES	YES	Current+Complete+Tanos
とる	No	YES	YES	YES	Current+Complete+Tanos
ど	No	NO	YES	NO	Complete
どう	No	YES	YES	YES	Current+Complete+Tanos
どういたしまして	No	NO	YES	NO	Complete
どうして	No	YES	YES	YES	Current+Complete+Tanos
どうぞ	No	YES	YES	YES	Current+Complete+Tanos
どうぶつ	No	YES	YES	YES	Current+Complete+Tanos
どうも	No	YES	YES	YES	Current+Complete+Tanos
どうもありがとう	No	NO	YES	NO	Complete
どこ	No	YES	YES	YES	Current+Complete+Tanos
どこか	No	NO	YES	NO	Complete
どちら	No	YES	YES	YES	Current+Complete+Tanos
どっち	No	YES	YES	YES	Current+Complete+Tanos
どなた	No	YES	YES	YES	Current+Complete+Tanos
どの	No	YES	YES	YES	Current+Complete+Tanos
どようび	No	YES	YES	YES	Current+Complete+Tanos
どれ	No	YES	YES	YES	Current+Complete+Tanos
どんな	No	NO	YES	NO	Complete
なか	No	YES	YES	YES	Current+Complete+Tanos
ながい	No	YES	YES	YES	Current+Complete+Tanos
なきます	No	NO	YES	NO	Complete
なく	No	YES	YES	YES	Current+Complete+Tanos
なくす	No	YES	YES	YES	Current+Complete+Tanos
なぜ	No	YES	YES	YES	Current+Complete+Tanos
なつ	No	YES	YES	YES	Current+Complete+Tanos
なつやすみ	No	YES	YES	YES	Current+Complete+Tanos
など	No	YES	YES	YES	Current+Complete+Tanos
ななつ	No	YES	YES	YES	Current+Complete+Tanos
なに	No	NO	YES	NO	Complete
なにか	No	NO	YES	NO	Complete
なのか	No	YES	YES	YES	Current+Complete+Tanos
なまえ	No	YES	YES	YES	Current+Complete+Tanos
ならいます	No	NO	YES	NO	Complete
ならう	No	YES	YES	YES	Current+Complete+Tanos
ならびます	No	NO	YES	NO	Complete
ならぶ	No	YES	YES	YES	Current+Complete+Tanos
ならべます	No	NO	YES	NO	Complete
ならべる	No	YES	YES	YES	Current+Complete+Tanos
なります	No	NO	YES	NO	Complete
なる	No	YES	YES	YES	Current+Complete+Tanos
なん	No	NO	YES	NO	Complete
なん/なに	No	YES	YES	NO	Current+Complete
なんじ	No	NO	YES	NO	Complete
なんにち	No	NO	YES	NO	Complete
に	No	YES	YES	YES	Current+Complete+Tanos
にぎやか	No	YES	YES	YES	Current+Complete+Tanos
にく	No	YES	YES	YES	Current+Complete+Tanos
にし	No	YES	YES	YES	Current+Complete+Tanos
にち	No	NO	YES	NO	Complete
にちようび	No	YES	YES	YES	Current+Complete+Tanos
にねん	No	NO	YES	NO	Complete
にほん	No	NO	YES	NO	Complete
にほんご	No	NO	YES	NO	Complete
にもつ	No	YES	YES	YES	Current+Complete+Tanos
にわ	No	YES	YES	YES	Current+Complete+Tanos
にん	No	NO	YES	NO	Complete
ぬぎます	No	NO	YES	NO	Complete
ぬぐ	No	YES	YES	YES	Current+Complete+Tanos
ぬります	No	NO	YES	NO	Complete
ぬるい	No	YES	YES	YES	Current+Complete+Tanos
ねこ	No	YES	YES	YES	Current+Complete+Tanos
ねます	No	NO	YES	NO	Complete
ねる	No	YES	YES	YES	Current+Complete+Tanos
ねん	No	NO	YES	NO	Complete
のぼります	No	NO	YES	NO	Complete
のぼる	No	YES	YES	YES	Current+Complete+Tanos
のみます	No	NO	YES	NO	Complete
のみもの	No	YES	YES	YES	Current+Complete+Tanos
のむ	No	YES	YES	YES	Current+Complete+Tanos
のります	No	NO	YES	NO	Complete
のる	No	YES	YES	YES	Current+Complete+Tanos
は	No	YES	YES	YES	Current+Complete+Tanos
はい	No	YES	YES	YES	Current+Complete+Tanos
はいざら	No	YES	YES	YES	Current+Complete+Tanos
はいります	No	NO	YES	NO	Complete
はいる	No	YES	YES	YES	Current+Complete+Tanos
はがき	No	YES	YES	YES	Current+Complete+Tanos
はきます	No	NO	YES	NO	Complete
はく	No	YES	YES	YES	Current+Complete+Tanos
はこ	No	YES	YES	YES	Current+Complete+Tanos
はし	No	YES	YES	YES	Current+Complete+Tanos
はしる	No	YES	YES	YES	Current+Complete+Tanos
はじまります	No	NO	YES	NO	Complete
はじまる	No	YES	YES	YES	Current+Complete+Tanos
はじめ	No	YES	YES	YES	Current+Complete+Tanos
はじめて	No	YES	YES	YES	Current+Complete+Tanos
はじめに	No	NO	YES	NO	Complete
はじめまして	No	NO	YES	NO	Complete
はたち	No	YES	YES	YES	Current+Complete+Tanos
はたらきます	No	NO	YES	NO	Complete
はたらく	No	YES	YES	YES	Current+Complete+Tanos
はち	No	YES	YES	YES	Current+Complete+Tanos
はつか	No	YES	YES	YES	Current+Complete+Tanos
はな	No	YES	YES	YES	Current+Complete+Tanos
はなし	No	YES	YES	YES	Current+Complete+Tanos
はなします	No	NO	YES	NO	Complete
はなす	No	YES	YES	YES	Current+Complete+Tanos
はは	No	NO	YES	NO	Complete
はやい	No	YES	YES	YES	Current+Complete+Tanos
はります	No	NO	YES	NO	Complete
はる	No	YES	YES	YES	Current+Complete+Tanos
はれ	No	YES	YES	YES	Current+Complete+Tanos
はれます	No	NO	YES	NO	Complete
はれる	No	YES	YES	YES	Current+Complete+Tanos
はん	No	YES	YES	YES	Current+Complete+Tanos
はんぶん	No	YES	YES	YES	Current+Complete+Tanos
ばん	No	YES	YES	YES	Current+Complete+Tanos
ばんごう	No	YES	YES	YES	Current+Complete+Tanos
ばんごはん	No	YES	YES	YES	Current+Complete+Tanos
ひ	No	NO	YES	NO	Complete
ひがし	No	YES	YES	YES	Current+Complete+Tanos
ひき	No	NO	YES	NO	Complete
ひきます	No	NO	YES	NO	Complete
ひく	No	YES	YES	YES	Current+Complete+Tanos
ひくい	No	YES	YES	YES	Current+Complete+Tanos
ひこうき	No	YES	YES	YES	Current+Complete+Tanos
ひだり	No	YES	YES	YES	Current+Complete+Tanos
ひと	No	YES	YES	YES	Current+Complete+Tanos
ひとつ	No	YES	YES	YES	Current+Complete+Tanos
ひとつき	No	YES	YES	YES	Current+Complete+Tanos
ひとり	No	YES	YES	YES	Current+Complete+Tanos
ひま	No	YES	YES	YES	Current+Complete+Tanos
ひゃく	No	YES	YES	YES	Current+Complete+Tanos
ひらがな	No	NO	YES	NO	Complete
ひる	No	YES	YES	YES	Current+Complete+Tanos
ひるごはん	No	YES	YES	YES	Current+Complete+Tanos
ひろい	No	YES	YES	YES	Current+Complete+Tanos
びょういん	No	YES	YES	YES	Current+Complete+Tanos
びょうき	No	YES	YES	YES	Current+Complete+Tanos
ふうとう	No	YES	YES	YES	Current+Complete+Tanos
ふきます	No	NO	YES	NO	Complete
ふく	No	YES	YES	YES	Current+Complete+Tanos
ふたつ	No	YES	YES	YES	Current+Complete+Tanos
ふたり	No	YES	YES	YES	Current+Complete+Tanos
ふつか	No	YES	YES	YES	Current+Complete+Tanos
ふとい	No	YES	YES	YES	Current+Complete+Tanos
ふゆ	No	YES	YES	YES	Current+Complete+Tanos
ふります	No	NO	YES	NO	Complete
ふる	No	YES	YES	YES	Current+Complete+Tanos
ふるい	No	YES	YES	YES	Current+Complete+Tanos
ふろ	No	YES	YES	YES	Current+Complete+Tanos
ふん	No	NO	YES	NO	Complete
ぶたにく	No	YES	YES	YES	Current+Complete+Tanos
ぶん	No	NO	YES	NO	Complete
ぶんしょう	No	YES	YES	YES	Current+Complete+Tanos
へた	No	YES	YES	YES	Current+Complete+Tanos
へや	No	YES	YES	YES	Current+Complete+Tanos
へん	No	YES	YES	YES	Current+Complete+Tanos
べんきょうします	No	NO	YES	NO	Complete
べんきょうする	No	YES	YES	YES	Current+Complete+Tanos
べんり	No	YES	YES	YES	Current+Complete+Tanos
ほう	No	NO	YES	NO	Complete
ほか	No	YES	YES	YES	Current+Complete+Tanos
ほしい	No	YES	YES	YES	Current+Complete+Tanos
ほそい	No	YES	YES	YES	Current+Complete+Tanos
ほん	No	YES	YES	YES	Current+Complete+Tanos
ほんだな	No	YES	YES	YES	Current+Complete+Tanos
ほんとう	No	YES	YES	YES	Current+Complete+Tanos
ほんや	No	NO	YES	NO	Complete
ぼうし	No	YES	YES	YES	Current+Complete+Tanos
ぼく	No	NO	YES	NO	Complete
まい	No	NO	YES	NO	Complete
まいあさ	No	YES	YES	YES	Current+Complete+Tanos
まいげつ	No	NO	YES	NO	Complete
まいげつ/まいつき	No	YES	YES	NO	Current+Complete
まいしゅう	No	YES	YES	YES	Current+Complete+Tanos
まいにち	No	YES	YES	YES	Current+Complete+Tanos
まいねん	No	NO	YES	NO	Complete
まいねん/まいとし	No	YES	YES	NO	Current+Complete
まいばん	No	YES	YES	YES	Current+Complete+Tanos
まえ	No	YES	YES	YES	Current+Complete+Tanos
まがります	No	NO	YES	NO	Complete
まがる	No	YES	YES	YES	Current+Complete+Tanos
まずい	No	YES	YES	YES	Current+Complete+Tanos
また	No	YES	YES	YES	Current+Complete+Tanos
まだ	No	YES	YES	YES	Current+Complete+Tanos
まち	No	YES	YES	YES	Current+Complete+Tanos
まちます	No	NO	YES	NO	Complete
まっすぐ	No	YES	YES	YES	Current+Complete+Tanos
まつ	No	YES	YES	YES	Current+Complete+Tanos
まど	No	YES	YES	YES	Current+Complete+Tanos
まるい	No	YES	YES	YES	Current+Complete+Tanos
まん	No	YES	YES	YES	Current+Complete+Tanos
まんねんひつ	No	YES	YES	YES	Current+Complete+Tanos
みがきます	No	NO	YES	NO	Complete
みがく	No	YES	YES	YES	Current+Complete+Tanos
みぎ	No	YES	YES	YES	Current+Complete+Tanos
みじかい	No	YES	YES	YES	Current+Complete+Tanos
みず	No	YES	YES	YES	Current+Complete+Tanos
みせ	No	YES	YES	YES	Current+Complete+Tanos
みせます	No	NO	YES	NO	Complete
みせる	No	YES	YES	YES	Current+Complete+Tanos
みち	No	YES	YES	YES	Current+Complete+Tanos
みっか	No	YES	YES	YES	Current+Complete+Tanos
みっつ	No	YES	YES	YES	Current+Complete+Tanos
みどり	No	YES	YES	YES	Current+Complete+Tanos
みなさん	No	YES	YES	YES	Current+Complete+Tanos
みなみ	No	YES	YES	YES	Current+Complete+Tanos
みます	No	NO	YES	NO	Complete
みみ	No	YES	YES	YES	Current+Complete+Tanos
みる	No	YES	YES	NO	Current+Complete
みんな	No	YES	YES	YES	Current+Complete+Tanos
むいか	No	YES	YES	YES	Current+Complete+Tanos
むこう	No	YES	YES	YES	Current+Complete+Tanos
むずかしい	No	YES	YES	YES	Current+Complete+Tanos
むっつ	No	YES	YES	YES	Current+Complete+Tanos
むら	No	YES	YES	YES	Current+Complete+Tanos
め	No	YES	YES	YES	Current+Complete+Tanos
めがね	No	YES	YES	YES	Current+Complete+Tanos
もう	No	YES	YES	YES	Current+Complete+Tanos
もういちど	No	YES	YES	YES	Current+Complete+Tanos
もう一度	Yes	YES	YES	YES	Current+Complete+Tanos
もく	No	NO	YES	NO	Complete
もくようび	No	YES	YES	YES	Current+Complete+Tanos
もしもし	No	NO	YES	NO	Complete
もちます	No	NO	YES	NO	Complete
もちろん	No	NO	YES	NO	Complete
もっていきます	No	NO	YES	NO	Complete
もっと	No	YES	YES	YES	Current+Complete+Tanos
もつ	No	YES	YES	YES	Current+Complete+Tanos
もの	No	YES	YES	YES	Current+Complete+Tanos
もらいます	No	NO	YES	NO	Complete
もん	No	YES	YES	YES	Current+Complete+Tanos
もんだい	No	YES	YES	YES	Current+Complete+Tanos
もんだいようし	No	NO	YES	NO	Complete
もんだいれい	No	NO	YES	NO	Complete
や	No	NO	YES	NO	Complete
やおや	No	YES	YES	YES	Current+Complete+Tanos
やさい	No	YES	YES	YES	Current+Complete+Tanos
やさしい	No	YES	YES	YES	Current+Complete+Tanos
やじるし	No	NO	YES	NO	Complete
やすい	No	YES	YES	YES	Current+Complete+Tanos
やすみ	No	YES	YES	YES	Current+Complete+Tanos
やすみます	No	NO	YES	NO	Complete
やすむ	No	YES	YES	YES	Current+Complete+Tanos
やっつ	No	YES	YES	YES	Current+Complete+Tanos
やま	No	YES	YES	YES	Current+Complete+Tanos
やります	No	NO	YES	NO	Complete
やる	No	YES	YES	YES	Current+Complete+Tanos
ゆうがた	No	YES	YES	YES	Current+Complete+Tanos
ゆうはん	No	YES	YES	YES	Current+Complete+Tanos
ゆうびんきょく	No	YES	YES	YES	Current+Complete+Tanos
ゆうべ	No	YES	YES	YES	Current+Complete+Tanos
ゆうめい	No	YES	YES	YES	Current+Complete+Tanos
ゆき	No	YES	YES	YES	Current+Complete+Tanos
ゆく	No	NO	NO	YES	Tanos
ゆっくり	No	NO	YES	NO	Complete
ゆっくりと	No	YES	YES	YES	Current+Complete+Tanos
ようか	No	YES	YES	YES	Current+Complete+Tanos
ようふく	No	YES	YES	YES	Current+Complete+Tanos
よく	No	YES	YES	YES	Current+Complete+Tanos
よこ	No	YES	YES	YES	Current+Complete+Tanos
よっか	No	YES	YES	YES	Current+Complete+Tanos
よっつ	No	YES	YES	YES	Current+Complete+Tanos
よびます	No	NO	YES	NO	Complete
よぶ	No	YES	YES	YES	Current+Complete+Tanos
よみます	No	NO	YES	NO	Complete
よむ	No	YES	YES	YES	Current+Complete+Tanos
より、ほう	No	YES	YES	NO	Current+Complete
よる	No	YES	YES	YES	Current+Complete+Tanos
よろしく	No	NO	YES	NO	Complete
よわい	No	YES	YES	YES	Current+Complete+Tanos
らいげつ	No	YES	YES	YES	Current+Complete+Tanos
らいしゅう	No	YES	YES	YES	Current+Complete+Tanos
らいねん	No	YES	YES	YES	Current+Complete+Tanos
りっぱ	No	YES	YES	YES	Current+Complete+Tanos
りゅうがくせい	No	YES	YES	YES	Current+Complete+Tanos
りょうしん	No	YES	YES	YES	Current+Complete+Tanos
りょうり	No	YES	YES	YES	Current+Complete+Tanos
りょこう	No	YES	YES	YES	Current+Complete+Tanos
りょこうがいしゃ	No	NO	YES	NO	Complete
りょこうします	No	NO	YES	NO	Complete
りんご	No	NO	YES	NO	Complete
れい	No	YES	YES	YES	Current+Complete+Tanos
れいぞうこ	No	YES	YES	YES	Current+Complete+Tanos
れんしゅう	No	NO	YES	NO	Complete
れんしゅうします	No	NO	YES	NO	Complete
れんしゅうする	No	YES	YES	YES	Current+Complete+Tanos
ろうか	No	YES	YES	YES	Current+Complete+Tanos
ろく	No	YES	YES	YES	Current+Complete+Tanos
ろっぽん	No	NO	YES	NO	Complete
わかい	No	YES	YES	YES	Current+Complete+Tanos
わかります	No	NO	YES	NO	Complete
わかる	No	YES	YES	YES	Current+Complete+Tanos
わすれます	No	NO	YES	NO	Complete
わすれる	No	YES	YES	YES	Current+Complete+Tanos
わたくし	No	YES	YES	YES	Current+Complete+Tanos
わたし	No	NO	YES	YES	Complete+Tanos
わたします	No	NO	YES	NO	Complete
わたす	No	YES	YES	YES	Current+Complete+Tanos
わたります	No	NO	YES	NO	Complete
わたる	No	YES	YES	YES	Current+Complete+Tanos
わるい	No	YES	YES	YES	Current+Complete+Tanos
アパート	No	YES	YES	YES	Current+Complete+Tanos
アメリカ	No	NO	YES	NO	Complete
エアコン	No	NO	YES	NO	Complete
エレベーター	No	YES	YES	YES	Current+Complete+Tanos
カタカナ	No	NO	YES	NO	Complete
カップ	No	YES	YES	YES	Current+Complete+Tanos
カメラ	No	YES	YES	YES	Current+Complete+Tanos
カレンダー	No	YES	YES	YES	Current+Complete+Tanos
カレー	No	YES	YES	YES	Current+Complete+Tanos
キロ	No	NO	YES	NO	Complete
キロ/キログラム	No	YES	YES	NO	Current+Complete
キロ/キロメートル	No	YES	YES	NO	Current+Complete
ギター	No	YES	YES	YES	Current+Complete+Tanos
クラス	No	YES	YES	YES	Current+Complete+Tanos
グラム	No	YES	YES	YES	Current+Complete+Tanos
ケーキ	No	NO	YES	NO	Complete
コップ	No	YES	YES	YES	Current+Complete+Tanos
コピー	No	NO	YES	NO	Complete
コピーします	No	NO	YES	NO	Complete
コピーする	No	YES	YES	YES	Current+Complete+Tanos
コート	No	YES	YES	YES	Current+Complete+Tanos
コーヒー	No	YES	YES	YES	Current+Complete+Tanos
サッカー	No	NO	YES	NO	Complete
シャツ	No	YES	YES	YES	Current+Complete+Tanos
シャワー	No	YES	YES	YES	Current+Complete+Tanos
ジュース	No	NO	YES	NO	Complete
スカート	No	YES	YES	YES	Current+Complete+Tanos
ストーブ	No	YES	YES	YES	Current+Complete+Tanos
スプーン	No	YES	YES	YES	Current+Complete+Tanos
スポーツ	No	YES	YES	YES	Current+Complete+Tanos
スリッパ	No	YES	YES	YES	Current+Complete+Tanos
ズボン	No	YES	YES	YES	Current+Complete+Tanos
セーター	No	YES	YES	YES	Current+Complete+Tanos
ゼロ	No	YES	YES	YES	Current+Complete+Tanos
タクシー	No	YES	YES	YES	Current+Complete+Tanos
ティッシュペーパー	No	NO	YES	NO	Complete
テスト	No	YES	YES	YES	Current+Complete+Tanos
テレビ	No	YES	YES	YES	Current+Complete+Tanos
テーブル	No	YES	YES	YES	Current+Complete+Tanos
テープ	No	YES	YES	YES	Current+Complete+Tanos
テープレコーダー	No	YES	YES	YES	Current+Complete+Tanos
デパート	No	YES	YES	YES	Current+Complete+Tanos
トイレ	No	YES	YES	YES	Current+Complete+Tanos
トイレットペーパー	No	NO	YES	NO	Complete
ドア	No	YES	YES	YES	Current+Complete+Tanos
ナイフ	No	YES	YES	YES	Current+Complete+Tanos
ニュース	No	YES	YES	YES	Current+Complete+Tanos
ネクタイ	No	YES	YES	YES	Current+Complete+Tanos
ノート	No	YES	YES	YES	Current+Complete+Tanos
ハンカチ	No	YES	YES	YES	Current+Complete+Tanos
バス	No	YES	YES	YES	Current+Complete+Tanos
バスがいしゃ	No	NO	YES	NO	Complete
バスてい	No	NO	YES	NO	Complete
バスりょこう	No	NO	YES	NO	Complete
バター	No	YES	YES	YES	Current+Complete+Tanos
パン	No	YES	YES	YES	Current+Complete+Tanos
パンや	No	NO	YES	NO	Complete
パーティー	No	YES	YES	YES	Current+Complete+Tanos
ビル	No	NO	YES	NO	Complete
フィルム	No	YES	YES	YES	Current+Complete+Tanos
フォーク	No	YES	YES	YES	Current+Complete+Tanos
プール	No	YES	YES	YES	Current+Complete+Tanos
ベッド	No	YES	YES	YES	Current+Complete+Tanos
ペット	No	YES	YES	YES	Current+Complete+Tanos
ペン	No	YES	YES	YES	Current+Complete+Tanos
ページ	No	YES	YES	YES	Current+Complete+Tanos
ホテル	No	YES	YES	YES	Current+Complete+Tanos
ボタン	No	YES	YES	YES	Current+Complete+Tanos
ボールペン	No	YES	YES	YES	Current+Complete+Tanos
ポケット	No	YES	YES	YES	Current+Complete+Tanos
ポスト	No	YES	YES	YES	Current+Complete+Tanos
マッチ	No	YES	YES	YES	Current+Complete+Tanos
メモ	No	NO	YES	NO	Complete
メモします	No	NO	YES	NO	Complete
メートル	No	YES	YES	YES	Current+Complete+Tanos
ラジオ	No	YES	YES	YES	Current+Complete+Tanos
ラジカセ	No	NO	NO	YES	Tanos
ラジカセ/ラジオカセット	No	YES	YES	NO	Current+Complete
ラーメン	No	NO	YES	NO	Complete
レコード	No	YES	YES	YES	Current+Complete+Tanos
レストラン	No	YES	YES	YES	Current+Complete+Tanos
ワイシャツ	No	YES	YES	YES	Current+Complete+Tanos
一	Yes	YES	YES	YES	Current+Complete+Tanos
一つ	Yes	YES	YES	YES	Current+Complete+Tanos
一人	Yes	YES	YES	YES	Current+Complete+Tanos
一日	Yes	YES	YES	YES	Current+Complete+Tanos
一昨年	Yes	YES	YES	YES	Current+Complete+Tanos
一昨日	Yes	YES	YES	YES	Current+Complete+Tanos
一月	Yes	YES	YES	YES	Current+Complete+Tanos
一緒	Yes	YES	YES	YES	Current+Complete+Tanos
七	Yes	YES	YES	YES	Current+Complete+Tanos
七つ	Yes	YES	YES	YES	Current+Complete+Tanos
七日	Yes	YES	YES	YES	Current+Complete+Tanos
万	Yes	YES	YES	YES	Current+Complete+Tanos
万年筆	Yes	YES	YES	YES	Current+Complete+Tanos
丈夫	Yes	YES	YES	YES	Current+Complete+Tanos
三	Yes	YES	YES	YES	Current+Complete+Tanos
三つ	Yes	YES	YES	YES	Current+Complete+Tanos
三日	Yes	YES	YES	YES	Current+Complete+Tanos
上	Yes	YES	YES	YES	Current+Complete+Tanos
上げる	Yes	YES	YES	YES	Current+Complete+Tanos
上手	Yes	YES	YES	YES	Current+Complete+Tanos
上着	Yes	YES	YES	YES	Current+Complete+Tanos
下	Yes	YES	YES	YES	Current+Complete+Tanos
下手	Yes	YES	YES	YES	Current+Complete+Tanos
両親	Yes	YES	YES	YES	Current+Complete+Tanos
並ぶ	Yes	YES	YES	YES	Current+Complete+Tanos
並べる	Yes	YES	YES	YES	Current+Complete+Tanos
中	Yes	YES	YES	YES	Current+Complete+Tanos
丸い/円い	Yes	YES	YES	YES	Current+Complete+Tanos
乗る	Yes	YES	YES	YES	Current+Complete+Tanos
九	Yes	YES	YES	YES	Current+Complete+Tanos
九つ	Yes	YES	YES	YES	Current+Complete+Tanos
九日	Yes	YES	YES	YES	Current+Complete+Tanos
二	Yes	YES	YES	YES	Current+Complete+Tanos
二つ	Yes	YES	YES	YES	Current+Complete+Tanos
二人	Yes	YES	YES	YES	Current+Complete+Tanos
二十日	Yes	YES	YES	YES	Current+Complete+Tanos
二十歳	Yes	YES	YES	YES	Current+Complete+Tanos
二日	Yes	YES	YES	YES	Current+Complete+Tanos
五	Yes	YES	YES	YES	Current+Complete+Tanos
五つ	Yes	YES	YES	YES	Current+Complete+Tanos
五日	Yes	YES	YES	YES	Current+Complete+Tanos
交差点	Yes	YES	YES	YES	Current+Complete+Tanos
交番	Yes	YES	YES	YES	Current+Complete+Tanos
人	Yes	YES	YES	YES	Current+Complete+Tanos
今	Yes	YES	YES	YES	Current+Complete+Tanos
今年	Yes	YES	YES	YES	Current+Complete+Tanos
今日	Yes	YES	YES	YES	Current+Complete+Tanos
今晩	Yes	YES	YES	YES	Current+Complete+Tanos
今月	Yes	YES	YES	YES	Current+Complete+Tanos
今朝	Yes	YES	YES	YES	Current+Complete+Tanos
今週	Yes	YES	YES	YES	Current+Complete+Tanos
仕事	Yes	YES	YES	YES	Current+Complete+Tanos
休み	Yes	YES	YES	YES	Current+Complete+Tanos
休む	Yes	YES	YES	YES	Current+Complete+Tanos
会う	Yes	YES	YES	YES	Current+Complete+Tanos
会社	Yes	YES	YES	YES	Current+Complete+Tanos
伯母さん/叔母さん	Yes	YES	YES	YES	Current+Complete+Tanos
伯父/叔父	Yes	YES	YES	YES	Current+Complete+Tanos
低い	Yes	YES	YES	YES	Current+Complete+Tanos
住む	Yes	YES	YES	YES	Current+Complete+Tanos
体	Yes	YES	YES	YES	Current+Complete+Tanos
何	Yes	YES	YES	NO	Current+Complete
作る	Yes	YES	YES	YES	Current+Complete+Tanos
作文	Yes	YES	YES	YES	Current+Complete+Tanos
使う	Yes	YES	YES	YES	Current+Complete+Tanos
便利	Yes	YES	YES	YES	Current+Complete+Tanos
借りる	Yes	YES	YES	YES	Current+Complete+Tanos
傘	Yes	YES	YES	YES	Current+Complete+Tanos
働く	Yes	YES	YES	YES	Current+Complete+Tanos
元気	Yes	YES	YES	YES	Current+Complete+Tanos
兄	Yes	YES	YES	YES	Current+Complete+Tanos
兄弟	Yes	YES	YES	YES	Current+Complete+Tanos
先	Yes	YES	YES	YES	Current+Complete+Tanos
先月	Yes	YES	YES	YES	Current+Complete+Tanos
先生	Yes	YES	YES	YES	Current+Complete+Tanos
先週	Yes	YES	YES	YES	Current+Complete+Tanos
入る	Yes	YES	YES	YES	Current+Complete+Tanos
入れる	Yes	YES	YES	YES	Current+Complete+Tanos
入口	Yes	YES	YES	YES	Current+Complete+Tanos
全部	Yes	YES	YES	YES	Current+Complete+Tanos
八	Yes	YES	YES	YES	Current+Complete+Tanos
八つ	Yes	YES	YES	YES	Current+Complete+Tanos
八日	Yes	YES	YES	YES	Current+Complete+Tanos
八百屋	Yes	YES	YES	YES	Current+Complete+Tanos
公園	Yes	YES	YES	YES	Current+Complete+Tanos
六	Yes	YES	YES	YES	Current+Complete+Tanos
六つ	Yes	YES	YES	YES	Current+Complete+Tanos
六日	Yes	YES	YES	YES	Current+Complete+Tanos
写真	Yes	YES	YES	YES	Current+Complete+Tanos
冬	Yes	YES	YES	YES	Current+Complete+Tanos
冷たい	Yes	YES	YES	YES	Current+Complete+Tanos
冷蔵庫	Yes	YES	YES	YES	Current+Complete+Tanos
出かける	Yes	YES	YES	YES	Current+Complete+Tanos
出す	Yes	YES	YES	YES	Current+Complete+Tanos
出る	Yes	YES	YES	YES	Current+Complete+Tanos
出口	Yes	YES	YES	YES	Current+Complete+Tanos
分かる	Yes	YES	YES	YES	Current+Complete+Tanos
切る	Yes	YES	YES	YES	Current+Complete+Tanos
切手	Yes	YES	YES	YES	Current+Complete+Tanos
切符	Yes	YES	YES	YES	Current+Complete+Tanos
初め/始め	Yes	YES	YES	YES	Current+Complete+Tanos
初めて	Yes	YES	YES	YES	Current+Complete+Tanos
前	Yes	YES	YES	YES	Current+Complete+Tanos
勉強	Yes	YES	YES	YES	Current+Complete+Tanos
動物	Yes	YES	YES	YES	Current+Complete+Tanos
勤める	Yes	YES	YES	YES	Current+Complete+Tanos
北	Yes	YES	YES	YES	Current+Complete+Tanos
医者	Yes	YES	YES	YES	Current+Complete+Tanos
十	Yes	YES	YES	YES	Current+Complete+Tanos
十日	Yes	YES	YES	YES	Current+Complete+Tanos
千	Yes	YES	YES	YES	Current+Complete+Tanos
午前	Yes	YES	YES	YES	Current+Complete+Tanos
午後	Yes	YES	YES	YES	Current+Complete+Tanos
半	Yes	YES	YES	YES	Current+Complete+Tanos
半分	Yes	YES	YES	YES	Current+Complete+Tanos
南	Yes	YES	YES	YES	Current+Complete+Tanos
危ない	Yes	YES	YES	YES	Current+Complete+Tanos
卵	Yes	YES	YES	YES	Current+Complete+Tanos
厚い	Yes	YES	YES	YES	Current+Complete+Tanos
去年	Yes	YES	YES	YES	Current+Complete+Tanos
友達	Yes	YES	YES	YES	Current+Complete+Tanos
取る	Yes	YES	YES	YES	Current+Complete+Tanos
口	Yes	YES	YES	YES	Current+Complete+Tanos
古い	Yes	YES	YES	YES	Current+Complete+Tanos
台所	Yes	YES	YES	YES	Current+Complete+Tanos
右	Yes	YES	YES	YES	Current+Complete+Tanos
同じ	Yes	YES	YES	YES	Current+Complete+Tanos
名前	Yes	YES	YES	YES	Current+Complete+Tanos
向こう	Yes	YES	YES	YES	Current+Complete+Tanos
吸う	Yes	YES	YES	YES	Current+Complete+Tanos
吹く	Yes	YES	YES	YES	Current+Complete+Tanos
呼ぶ	Yes	YES	YES	YES	Current+Complete+Tanos
咲く	Yes	YES	YES	YES	Current+Complete+Tanos
問題	Yes	YES	YES	YES	Current+Complete+Tanos
喫茶店	Yes	YES	YES	YES	Current+Complete+Tanos
四	Yes	YES	YES	YES	Current+Complete+Tanos
