Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"お兄さん","おにいさん","(honorable) older brother",YES,YES,YES,ALL
"お姉さん","おねえさん","(honorable) older sister",YES,YES,YES,ALL
"(none)","おばあさん","grandmother, female senior-citizen",YES,YES,YES,ALL
"伯母さん/叔母さん","おばさん","Aunt",YES,YES,YES,ALL
"お風呂","おふろ","Bath",YES,YES,YES,ALL
"お弁当","おべんとう","boxed lunch",YES,YES,YES,ALL
"覚える","おぼえる","to remember",YES,YES,YES,ALL
"(none)","おまわりさん","friendly term for policeman",YES,YES,YES,ALL
"重い","おもい","Heavy",YES,YES,YES,ALL
"(none)","おもしろい","Interesting",YES,YES,YES,ALL
"泳ぐ","およぐ","to swim",YES,YES,YES,ALL
"降りる","おりる","to get off, to descend",YES,YES,YES,ALL
"終る","おわる","to finish",YES,YES,YES,ALL
"音楽","おんがく","Music",YES,YES,YES,ALL
"女","おんな","Woman",YES,YES,YES,ALL
"女の子","おんなのこ","Girl",YES,YES,YES,ALL
"外国","がいこく","foreign country",YES,YES,YES,ALL
"外国人","がいこくじん","Foreigner",YES,YES,YES,ALL
"会社","かいしゃ","Company",YES,YES,YES,ALL
"階段","かいだん","Stairs",YES,YES,YES,ALL
"買い物","かいもの","Shopping",YES,YES,YES,ALL
"買う","かう","to buy",YES,YES,YES,ALL
"返す","かえす","to return something",YES,YES,YES,ALL
"帰る","かえる","to go back",YES,YES,YES,ALL
"(none)","かかる","to take time or money",YES,YES,YES,ALL
"(none)","かぎ","Key",YES,YES,YES,ALL
"書く","かく","to write",YES,YES,YES,ALL
"学生","がくせい","Student",YES,YES,YES,ALL
"(none)","かける","to call by phone",YES,YES,YES,ALL
"傘","かさ","Umbrella",YES,YES,YES,ALL
"貸す","かす","to lend",YES,YES,YES,ALL
"風","かぜ","Wind",YES,YES,YES,ALL
"風邪","かぜ","a cold",YES,YES,YES,ALL
"家族","かぞく","Family",YES,YES,YES,ALL
"方","かた","person, way of doing",YES,YES,YES,ALL
"学校","がっこう","School",YES,YES,YES,ALL
"(none)","カップ","Cup",YES,YES,YES,ALL
"家庭","かてい","Household",YES,YES,YES,ALL
"角","かど","a corner",YES,YES,YES,ALL
"(none)","かばん","bag, basket",YES,YES,YES,ALL
"花瓶","かびん","a vase",YES,YES,YES,ALL
"紙","かみ","paper",YES,YES,YES,ALL
"(none)","カメラ","camera",YES,YES,YES,ALL
"火曜日","かようび","Tuesday",YES,YES,YES,ALL
"辛い","からい","Spicy",YES,YES,YES,ALL
"体","からだ","Body",YES,YES,YES,ALL
"借りる","かりる","to borrow",YES,YES,YES,ALL
"軽い","かるい","Light",YES,YES,YES,ALL
"(none)","カレー","Curry",YES,YES,YES,ALL
"(none)","カレンダー","calendar",YES,YES,YES,ALL
"川/河","かわ","River",YES,YES,YES,ALL
"(none)","かわいい","Cute",YES,YES,YES,ALL
"漢字","かんじ","Chinese character",YES,YES,YES,ALL
"木","き","tree, wood",YES,YES,YES,ALL
"黄色","きいろ","yellow",YES,YES,YES,ALL
"黄色い","きいろい","yellow",YES,YES,YES,ALL
"消える","きえる","to disappear",YES,YES,YES,ALL
"聞く","きく","to hear, to listen to, to ask",YES,YES,YES,ALL
"北","きた","North",YES,YES,YES,ALL
"(none)","ギター","Guitar",YES,YES,YES,ALL
"汚い","きたない","Dirty",YES,YES,YES,ALL
"喫茶店","きっさてん","coffee lounge",YES,YES,YES,ALL
"切手","きって","postage stamp",YES,YES,YES,ALL
"切符","きっぷ","Ticket",YES,YES,YES,ALL
"昨日","きのう","Yesterday",YES,YES,YES,ALL
"九","きゅう","/ く Nine",YES,YES,YES,ALL
"牛肉","ぎゅうにく","Beef",YES,YES,YES,ALL
"牛乳","ぎゅうにゅう","Milk",YES,YES,YES,ALL
"今日","きょう","Today",YES,YES,YES,ALL
"教室","きょうしつ","Classroom",YES,YES,YES,ALL
"兄弟","きょうだい","(humble) siblings",YES,YES,YES,ALL
"去年","きょねん","last year",YES,YES,YES,ALL
"嫌い","きらい","Hate",YES,YES,YES,ALL
"切る","きる","to cut",YES,YES,YES,ALL
"着る","きる","to put on from the shoulders down",YES,YES,YES,ALL
"(none)","きれい","pretty, clean",YES,YES,YES,ALL
"銀行","ぎんこう","Bank",YES,YES,YES,ALL
"金曜日","きんようび","Friday",YES,YES,YES,ALL
"薬","くすり","medicine",YES,YES,YES,ALL
"(none)","ください","Please",YES,YES,YES,ALL
"果物","くだもの","Fruit",YES,YES,YES,ALL
"口","くち","mouth, opening",YES,YES,YES,ALL
"靴","くつ","Shoes",YES,YES,YES,ALL
"靴下","くつした","Socks",YES,YES,YES,ALL
"国","くに","Country",YES,YES,YES,ALL
"曇り","くもり","cloudy weather",YES,YES,YES,ALL
"曇る","くもる","to become cloudy, to become dim",YES,YES,YES,ALL
"暗い","くらい","Gloomy",YES,YES,YES,ALL
"(none)","クラス","Class",YES,YES,YES,ALL
"(none)","グラム","Gram",YES,YES,YES,ALL
"来る","くる","to come",YES,YES,YES,ALL
"車","くるま","car, vehicle",YES,YES,YES,ALL
"黒","くろ","Black",YES,YES,YES,ALL
"黒い","くろい","black",YES,YES,YES,ALL
"警官","けいかん","policeman",YES,YES,YES,ALL
"今朝","けさ","this morning",YES,YES,YES,ALL
"消す","けす","to erase, to turn off power",YES,YES,YES,ALL
"結構","けっこう","splendid, enough",YES,YES,YES,ALL
"結婚","けっこん","Marriage",YES,YES,YES,ALL
"月曜日","げつようび","Monday",YES,YES,YES,ALL
"玄関","げんかん","entry hall",YES,YES,YES,ALL
"元気","げんき","health, vitality",YES,YES,YES,ALL
"五","ご","Five",YES,YES,YES,ALL
"公園","こうえん","Park",YES,YES,YES,ALL
