========================================================================================================================
ALL 271 VERBS - COMPLETE TABLE
========================================================================================================================

No.    Image Label                    Kanji                Kana                 Meaning
121    TO TOUR                        見学する                 けんがくする               to tour
122    TO RESEARCH                    研究する                 けんきゅうする              to research
123    TO COPY                        コピーする                コピーする                to copy
124    TO TAKE A WALK                 散歩する                 さんぽする                to take a walk
125    TO WORK OVERTIME               残業する                 ざんぎょうする              to work overtime







126    TO REPAIR                      修理する                 しゅうりする               to repair
127    TO BE DIFFERENT                違う                   ちがう                  to be different
128    TO GO ON A BUSINESS TRIP       出張する                 しゅっちょうする             to go on a business trip
129    TO WORK                        仕事する                 しごとする                to work
130    TO INTRODUCE                   紹介する                 しょうかいする              to introduce
131    TO BEGIN                       始まる                  はじまる                 to begin
132    TO HAVE A MEAL                 食事する                 しょくじする               to have a meal
133    TO RETURN                      戻る                   もどる                  to return
134    TO WORRY                       心配する                 しんぱいする               to worry
135    TO DRIVE (FOR PLEASURE)        ドライブする               どらいぶする               to drive (for pleasure)
136    TO EXPLAIN                     説明する                 せつめいする               to explain
137    TO ANNOUNCE                    発表する                 はっぴょうする              to announce
138    TO DO LAUNDRY                  洗濯する                 せんたくする               to do laundry
139    TO ANSWER                      答える                  こたえる                 to answer
140    TO CLEAN                       掃除する                 そうじする                to clean
141    TO BE SAVED                    助かる                  たすかる                 to be saved
142    TO CALL                        電話する                 でんわする                to call
143    TO ARRANGE                     並べる                  ならべる                 to arrange
144    TO STUDY                       勉強する                 べんきょうする              to study
145    TO PUT ON MAKEUP               化粧する                 けしょうする               to put on makeup
146    TO RESERVE                     予約する                 よやくする                to reserve
147    TO DECIDE                      決める                  きめる                  to decide
148    TO STUDY ABROAD                留学する                 りゅうがくする              to study abroad
149    TO LAUGH                       笑う                   わらう                  to laugh
150    TO BRING (SOMEONE)             連れて来る                つれてくる                to bring (someone)









151    TO CRY                         泣く                   なく                   to cry
152    TO BRING (SOMETHING)           持って来る                もってくる                to bring (something)
153    TO FIGHT                       けんかする                けんかする                to fight
154    TO RUN                         走る                   はしる                  to run
155    TO DANCE                       踊る                   おどる                  to dance
156    TO TAKE A BREAK                休憩する                 きゅうけいする              to take a break
157    TO DIE                         死ぬ                   しぬ                   to die
158    TO TRAVEL                      旅行する                 りょこうする               to travel
159    TO VISIT (HUMBLE)              伺う                   うかがう                 to visit (humble)
160    TO COOK                        料理する                 りょうりする               to cook
161    TO BOIL (FOOD)                 茹でる                  ゆでる                  to boil (food)
162    TO BOIL (WATER)                沸く                   わく                   to boil (water)
163    TO BE LATE                     遅れる                  おくれる                 to be late
164    TO DRY                         干す                   ほす                   to dry
165    TO BLOOM                       咲く                   さく                   to bloom
166    TO PROTECT                     守る                   まもる                  to protect
167    TO CONTINUE                    続ける                  つづける                 to continue (PANKAJ - NOT AVAILABLE)
168    TO BE EMPTY                    空く                   すく                   to be empty
169    TO KEEP                        飼う                   かう                   to keep
170    TO CARE ABOUT                  気にする                 きにする                 to care about
171    TO PREPARE                     準備する                 じゅんびする               to prepare
172    TO BE PLEASED                  喜ぶ                   よろこぶ                 to be pleased
173    TO STOP (INTRANSITIVE)         止まる                  とまる                  to stop (intransitive)
174    TO PARK (VEHICLE)              停める                  とめる                  to park (vehicle)
175    TO OVERWORK                    無理する                 むりする                 to overwork











176    TO SEPARATE                    分ける                  わける                  to separate
177    TO HAND OUT                    渡す                   わたす                  to hand out
178    TO PRACTICE                    練習する                 れんしゅうする              to practice
179    TO OVERFLOW                    溢れる                  あふれる                 to overflow
180    TO APOLOGIZE                   謝る                   あやまる                 to apologize
181    TO WARM UP (FOOD)              温める                  あたためる                to warm up (food)
182    TO HURT                        痛む                   いたむ                  to hurt
183    TO STIR-FRY                    炒める                  いためる                 to stir-fry
184    TO HIT                         打つ                   うつ                   to hit
185    TO DROP                        落とす                  おとす                  to drop
186    TO HANG (CLOTHES)              掛ける                  かける                  to hang (clothes)
187    TO TIDY UP                     片付ける                 かたづける                to tidy up
188    TO DRY (INTRANSITIVE)          乾く                   かわく                  to dry (intransitive)
189    TO KICK                        蹴る                   ける                   to kick
190    TO FALL DOWN                   転ぶ                   ころぶ                  to fall down
191    TO CONSULT                     相談する                 そうだんする               to consult
192    TO SEARCH                      探す                   さがす                  to search
193    TO ASK A QUESTION              質問する                 しつもんする               to ask a question
194    TO SCOLD                       叱る                   しかる                  to scold
195    TO COUGH                       咳をする                 せきをする                to cough
196    TO SLIP                        滑る                   すべる                  to slip
197    TO FOLD                        畳む                   たたむ                  to fold
198    TO ASK                         頼む                   たのむ                  to ask
199    TO ASK                         尋ねる                  たずねる                 to ask
200    TO VISIT (PERSON)              訪ねる                  たずねる                 to visit (person)






201    TO CONVEY                      伝える                  つたえる                 to convey
202    TO SUBMIT                      提出する                 ていしゅつする              to submit
203    TO JUMP                        跳ぶ                   とぶ                   to jump
204    TO CATCH                       捕る                   とる                   to catch
205    TO HEAL                        治る                   なおる                  to heal
206    TO THROW                       投げる                  なげる                  to throw
207    TO STRETCH                     伸ばす                  のばす                  to stretch   (PANKAJ - AVAILABLE BUT WRONG TEXT)
208    TO STICK                       貼る                   はる                   to stick
209    TO SWEEP                       掃く                   はく                   to sweep
210    TO VOMIT                       吐く                   はく                   to vomit
211    TO SWELL                       腫れる                  はれる                  to swell
212    TO COOL                        冷やす                  ひやす                  to cool
213    TO PICK UP                     拾う                   ひろう                  to pick up
214    TO PRAISE                      褒める                  ほめる                  to praise
215    TO BUMP INTO                   ぶつかる                 ぶつかる                 to bump into
216    TO WIPE                        拭く                   ふく                   to wipe
217    TO REVIEW (LESSONS)            復習する                 ふくしゅうする              to review (lessons)
218    TO BEND                        曲げる                  まげる                  to bend
219    TO MIX                         混ぜる                  まぜる                  to mix
220    TO FIND                        見つける                 みつける                 to find
221    TO POLISH                      磨く                   みがく                  to polish
222    TO GET WET                     濡れる                  ぬれる                  to get wet
223    TO GRILL                       焼く                   やく                   to grill
224    TO PREPARE (LESSONS)           予習する                 よしゅうする               to prepare (lessons)
225    TO GET DIRTY                   汚れる                  よごれる                 to get dirty





226    TO REFUSE                      断る                   ことわる                 to refuse
227    TO DISTRIBUTE                  配る                   くばる                  to distribute
228    TO CONTACT                     連絡する                 れんらくする               to contact
229    TO OVERFLOW                    溢れる                  あふれる                 to overflow
230    TO FLOAT                       浮かぶ                  うかぶ                  to float
231    TO BREAK                       折れる                  おれる                  to break
232    TO DROWN                       溺れる                  おぼれる                 to drown (PANKAJ - IMAGE NOT GOOD KANJI USED)
233    TO CHEW                        噛む                   かむ                   to chew
234    TO FREEZE                      凍る                   こおる                  to freeze
235    TO RUB                         擦る                   こする                  to rub
236    TO STRAIN                      漉す                   こす                   to strain
237    TO BREAK (INTRANSITIVE)        壊れる                  こわれる                 to break (intransitive)
238    TO TEAR                        裂ける                  さける                  to tear
239    TO SQUEEZE                     絞る                   しぼる                  to squeeze
240    TO SINK                        沈む                   しずむ                  to sink
